agent_id,trip_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,start_time_in_min,end_time_in_min,travel_time_in_min,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
247,0,15,7,15,7,434.87,526.80,91.93,1,1,2,1.00,1,0,122.47,
248,0,15,7,15,7,434.93,526.80,91.87,1,1,2,1.00,1,0,122.47,
249,0,15,7,15,7,434.99,516.90,81.91,1,1,2,1.00,1,0,109.11,
250,0,15,7,15,7,435.05,516.90,81.85,1,1,2,1.00,1,0,109.11,
251,0,15,7,15,7,435.11,517.00,81.89,1,1,2,1.00,1,0,109.11,
252,0,15,7,15,7,435.17,517.00,81.83,1,1,2,1.00,1,0,109.11,
253,0,15,7,15,7,435.23,517.10,81.87,1,1,2,1.00,1,0,109.11,
254,0,15,7,15,7,435.29,517.20,81.91,1,1,2,1.00,1,0,109.11,
255,0,15,7,15,7,435.35,517.20,81.85,1,1,2,1.00,1,0,109.11,
256,0,15,7,15,7,435.41,517.30,81.89,1,1,2,1.00,1,0,109.11,
257,0,15,7,15,7,435.47,517.30,81.83,1,1,2,1.00,1,0,109.11,
258,0,15,7,15,7,435.53,517.40,81.87,1,1,2,1.00,1,0,109.11,
259,0,15,7,15,7,435.59,517.50,81.91,1,1,2,1.00,1,0,109.11,
260,0,15,7,15,7,435.65,517.50,81.85,1,1,2,1.00,1,0,109.11,
261,0,15,7,15,7,435.71,517.60,81.89,1,1,2,1.00,2,0,109.11,
262,0,15,7,15,7,435.77,517.60,81.83,1,1,2,1.00,2,0,109.11,
263,0,15,7,15,7,435.83,517.70,81.87,1,1,2,1.00,1,0,109.11,
264,0,15,7,15,7,435.89,517.80,81.91,1,1,2,1.00,1,0,109.11,
265,0,15,7,15,7,435.95,517.80,81.85,1,1,2,1.00,1,0,109.11,
266,0,15,7,15,7,436.01,517.90,81.89,1,1,2,1.00,1,0,109.11,
267,0,15,7,15,7,436.07,528.00,91.93,1,1,2,1.00,1,0,122.47,
268,0,15,7,15,7,436.13,528.00,91.87,1,1,2,1.00,1,0,122.47,
269,0,15,7,15,7,436.19,518.10,81.91,1,1,2,1.00,1,0,109.11,
270,0,15,7,15,7,436.25,518.10,81.85,1,1,2,1.00,1,0,109.11,
271,0,15,7,15,7,436.31,528.20,91.89,1,1,2,1.00,1,0,122.47,
272,0,15,7,15,7,436.37,528.30,91.93,1,1,2,1.00,1,0,122.47,
273,0,15,7,15,7,436.43,518.30,81.87,1,1,2,1.00,1,0,109.11,
274,0,15,7,15,7,436.49,528.40,91.91,1,1,2,1.00,1,0,122.47,
275,0,15,7,15,7,436.55,528.40,91.85,1,1,2,1.00,1,0,122.47,
276,0,15,7,15,7,436.61,518.50,81.89,1,1,2,1.00,2,0,109.11,
277,0,15,7,15,7,436.67,518.50,81.83,1,1,2,1.00,1,0,109.11,
278,0,15,7,15,7,436.73,528.60,91.87,1,1,2,1.00,2,0,122.47,
279,0,15,7,15,7,436.79,518.70,81.91,1,1,2,1.00,1,0,109.11,
280,0,15,7,15,7,436.85,518.70,81.85,1,1,2,1.00,1,0,109.11,
281,0,15,7,15,7,436.91,528.80,91.89,1,1,2,1.00,1,0,122.47,
282,0,15,7,15,7,436.97,528.90,91.93,1,1,2,1.00,1,0,122.47,
283,0,15,7,15,7,437.03,518.90,81.87,1,1,2,1.00,2,0,109.11,
284,0,15,7,15,7,437.09,519.00,81.91,1,1,2,1.00,1,0,109.11,
285,0,15,7,15,7,437.15,529.00,91.85,1,1,2,1.00,1,0,122.47,
286,0,15,7,15,7,437.21,519.10,81.89,1,1,2,1.00,1,0,109.11,
287,0,15,7,15,7,437.27,519.10,81.83,1,1,2,1.00,1,0,109.11,
288,0,15,7,15,7,437.33,529.20,91.87,1,1,2,1.00,1,0,122.47,
289,0,15,7,15,7,437.39,529.30,91.91,1,1,2,1.00,1,0,122.47,
290,0,15,7,15,7,437.45,519.30,81.85,1,1,2,1.00,1,0,109.11,
291,0,15,7,15,7,437.51,529.40,91.89,1,1,2,1.00,1,0,122.47,
292,0,15,7,15,7,437.57,529.50,91.93,1,1,2,1.00,2,0,122.47,
293,0,15,7,15,7,437.63,519.50,81.87,1,1,2,1.00,2,0,109.11,
294,0,15,7,15,7,437.69,519.60,81.91,1,1,2,1.00,1,0,109.11,
295,0,15,7,15,7,437.75,529.60,91.85,1,1,2,1.00,1,0,122.47,
296,0,15,7,15,7,437.81,529.70,91.89,1,1,2,1.00,1,0,122.47,
297,0,15,7,15,7,437.87,519.70,81.83,1,1,2,1.00,1,0,109.11,
298,0,15,7,15,7,437.93,529.80,91.87,1,1,2,1.00,1,0,122.47,
299,0,15,7,15,7,437.99,529.90,91.91,1,1,2,1.00,1,0,122.47,
300,0,15,7,15,7,438.05,519.90,81.85,1,1,2,1.00,1,0,109.11,
301,0,15,7,15,7,438.11,520.00,81.89,1,1,2,1.00,1,0,109.11,
302,0,15,7,15,7,438.17,530.10,91.93,1,1,2,1.00,1,0,122.47,
303,0,15,7,15,7,438.23,520.10,81.87,1,1,2,1.00,1,0,109.11,
304,0,15,7,15,7,438.29,520.20,81.91,1,1,2,1.00,1,0,109.11,
305,0,15,7,15,7,438.35,530.20,91.85,1,1,2,1.00,1,0,122.47,
306,0,15,7,15,7,438.41,530.30,91.89,1,1,2,1.00,1,0,122.47,
307,0,15,7,15,7,438.47,520.30,81.83,1,1,2,1.00,2,0,109.11,
308,0,15,7,15,7,438.53,530.40,91.87,1,1,2,1.00,1,0,122.47,
309,0,15,7,15,7,438.59,530.50,91.91,1,1,2,1.00,1,0,122.47,
310,0,15,7,15,7,438.65,520.50,81.85,1,1,2,1.00,1,0,109.11,
311,0,15,7,15,7,438.71,520.60,81.89,1,1,2,1.00,1,0,109.11,
312,0,15,7,15,7,438.77,530.70,91.93,1,1,2,1.00,1,0,122.47,
313,0,15,7,15,7,438.83,530.70,91.87,1,1,2,1.00,1,0,122.47,
314,0,15,7,15,7,438.89,520.80,81.91,1,1,2,1.00,1,0,109.11,
