from_node_id,to_node_id,type_code,start_time_in_min,end_time_in_min,total_link_volume,lane_capacity_in_vhc_per_hour,volume_over_capacity_ratio,avg_waiting_time_on_loading_buffer_(min),speed_limit,speed,percentage_of_speed_limit,level_of_service,sensor_data_flag,sensor_link_volume,simulated_link_volume,measurement_error,abs_measurement_error_percentage,simulated_AADT,TotalEnergy_(J/hr),CO2_(g/hr),NOX_(g/hr),CO_(g/hr),HC_(g/hr),sov_volume,hov_volume,truck_volume,intermodal_volume,geometry,from_node_id,to_node_id,vol_d1,vol_d2,spd_d1,spd_d2,
18,17,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.37841715526,36.2750003512804,0.0 129.351998649439,36.2018852843679,0.0</coordinates></LineString>",18,17,
10,17,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.308822795577,36.190267043952,0.0 129.351998649439,36.2018852843679,0.0</coordinates></LineString>",10,17,
17,10,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.351998649439,36.2018852843679,0.0 129.308822795577,36.190267043952,0.0</coordinates></LineString>",17,10,
14,19,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.453217691738,35.9901278016516,0.0 129.534920618312,35.9804432843763,0.0</coordinates></LineString>",14,19,
19,14,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.534920618312,35.9804432843763,0.0 129.453217691738,35.9901278016516,0.0</coordinates></LineString>",19,14,
13,19,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.436588790519,35.9519431432182,0.0 129.534920618312,35.9804432843763,0.0</coordinates></LineString>",13,19,
19,13,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.534920618312,35.9804432843763,0.0 129.436588790519,35.9519431432182,0.0</coordinates></LineString>",19,13,
1,17,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.364920045864,36.0362420079224,0.0 129.351998649439,36.2018852843679,0.0</coordinates></LineString>",1,17,
17,1,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.351998649439,36.2018852843679,0.0 129.364920045864,36.0362420079224,0.0</coordinates></LineString>",17,1,
15,19,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.553611700846,36.0780704589578,0.0 129.534920618312,35.9804432843763,0.0</coordinates></LineString>",15,19,
19,15,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.534920618312,35.9804432843763,0.0 129.553611700846,36.0780704589578,0.0</coordinates></LineString>",19,15,
